No,施設区分,配置施設名,所管課,所在地,lat,lng,電話番号,AED利用可能時間,時間外利用方法,,施設数,配置台数,施設内の設置場所,,,,,,,
41,文化施設等,クリエーター支援センター,産業政策課,葵区追手町４－１６,34.976595,138.384796,205-4750,月曜日～土曜日9：00～21：00,時間外利用不可,,1,1,１階事務室前,,,,,,,
42,,産学交流センター,産業政策課,葵区御幸町３番地２１（ペガサート６・７階）,34.975043,138.386132,275-1655,月曜日～土曜日（祝日を除く）9：30～22：00,時間外利用不可,,1,1,６階正面入口右側壁,,,,,,,
43,,静岡音楽館,文化振興課,葵区黒金町１番地の９,34.971049,138.386254,251-2200,9：00～21：30休館日以外( 休館日：毎週月曜日（休日の場合はその翌日）、年末年始、臨時休館日),時間外利用不可,,1,1,７階事務室前受付カウンター,,,,,,,
44,,静岡市美術館,文化振興課,葵区紺屋町１７番地の１葵タワー３階,34.972754,138.386376,273-1515,10：00～19：00休館日以外 (休館日：毎週月曜日（休日の場合はその翌日）、年末年始、臨時休館日),時間外利用不可,,1,1,展示室前,,,,,,,
45,,静岡市民文化会館,文化振興課,葵区駿府町２番９０号,34.980903,138.38719,251-3751,8：30～21:45休館日以外 (休館日：毎週月曜日（休日の場合はその翌日）、年末年始、臨時休館日),警備員室・守衛室へ声をお掛けください。,,1,1,ロビー棟１階休憩室横,,,,,,,
46,,静岡市民文化会館前駐車場,文化振興課,葵区駿府町２番７５号,34.981397,138.385551,-,8：30～22:00年末年始、臨時休止日以外,時間外利用不可,,1,1,事務室内,,,,,,,
47,,賎機都市山村交流センター（安倍ごころ）,中山間地振興課,葵区牛妻２３５２番地,35.072486,138.372389,294-2501,9:30～17:00月曜日以外,時間外利用不可,,1,1,管理事務所窓口,,,,,,,
48,,中勘助文学記念館,文化振興課,葵区新間１０８９番地の１２０,34.985165,138.317522,277-2970,休館日（月曜日（祝日以外）、祝日の翌日、年末年始（12月26日～1月5日））を除く日10:00～17:00,時間外利用不可,,1,1,玄関,,,,,,,
49,,番町市民活動センター,市民自治推進課,葵区一番町５０番地,34.976292,138.37271,273-1212第１、第３水曜日については静岡市特別支援教育センター（255-3600）,年末年始（12/29～1/3）を除く月～土（第１、第３水曜日を除く）：9：00～21：30第１、第３水曜日：8：30～17：15日・祝：9：00～18：00,時間外利用不可,,1,1,入口付近受付前,,,,,,,
50,,文化財資料館,歴史文化課,葵区宮ヶ崎町１０２番地静岡浅間神社境内,34.982595,138.376229,245-3500,休館日（月曜日（祝日以外）、祝日の翌日（土・日以外）、年末年始（12月26日～1月5日））を除く日　9:00～16:30,時間外利用不可,,1,1,玄関ホール正面右側,,,,,,,
51,,藁科都市山村交流センター（わらびこ）,中山間地振興課,葵区大原１８３４番地,35.01358,138.270546,270-1501,9:30～17:00月曜日以外,時間外利用不可,,1,1,施設入口（公衆電話設置場所）,,,,,,,
52,福祉施設等,麻機児童館,子ども未来課,葵区有永４－２,35.026462,138.390247,248-4044,9：00～17：30（月曜日（祝日を除く）、祝日の翌日、毎月第３日曜日、年末年始は除く）,時間外利用不可,,1,1,玄関ホール,,,,,,,
53,,安東児童館,子ども未来課,葵区安東二丁目１６－１２,34.989555,138.383184,246-7224,9：00～17：30（月曜日（祝日を除く）、祝日の翌日、毎月第３日曜日、年末年始は除く）,時間外利用不可,,1,1,事務室前廊下,,,,,,,
54,,井川高齢者生活福祉センター,高齢者福祉課,葵区井川１１３３番地の２,35.222103,138.244287,260-2227,月～土（休館日除く）8：30～17：15,時間外利用不可,,1,1,２階デイルーム,,,,,,,
55,,梅ヶ島高齢者生活福祉センター,高齢者福祉課,葵区入島２４６番地,35.232243,138.34474,207-4477,月～土（休館日除く）8：30～17：00,時間外利用不可,,1,1,玄関左側壁,,,,,,,
56,,大川高齢者生活福祉センター,高齢者福祉課,葵区日向１０番地,35.082589,138.24216,206-5880,月～土（休館日除く）8：30～17：30,時間外利用不可,,1,1,小浴場前,,,,,,,
57,,鯨ケ池老人福祉センター,高齢者福祉課,葵区下９５１番地の１,35.041793,138.383797,294-9778,火～日（休館日除く）8：30～17：30,時間外利用不可,,1,1,１階事務室横,,,,,,,
58,,静岡市救護所,福祉総務課,葵区吉津１９０５番地,34.98141,138.312231,278-6239,平日（8:30～17:00）,時間外利用不可,,1,1,介護室,,,,,,,
59,,静岡市桜の園,障害者福祉課,葵区内牧１５６０番地６,35.023481,138.346259,296-2000,24時間月～日,施設職員へ声をお掛けください。,,1,2,①在宅サービス課指導員室内,,,,,,,
60,,,,,35.023481,138.346259,,24時間月～日,施設職員へ声をお掛けください。,,,,②医務室内,,,,,,,
61,,静岡市桜の園城北館,障害者福祉課,葵区北安東四丁目３２番３４号,35.004536,138.383414,200-5551,8:30～17:30月～金,時間外利用不可,,1,1,職員室内,,,,,,,
62,,静岡市心身障害児福祉センターいこいの家,障害者福祉課,葵区城東町２４番１号,34.986211,138.387609,249-3190,8:30～17:15月～金,時間外利用不可,,1,1,医務室内,,,,,,,
63,,静岡中央子育て支援センター,子ども未来課,葵区呉服町二丁目１－１,34.975062,138.382115,254-2287254-2296,月～土　7：00～23：00日・祝日　8：00～20：00（1月1日から3日は除く）,時間外利用不可,,1,1,４階交流サロン玄関左,,,,,,,
64,,静岡老人ホーム,高齢者福祉課,葵区吉津１９０５番地,34.98141,138.312231,278-1727,毎日6：00～18：00,電話またはインターホンにて声をお掛けください。,,1,1,玄関ホールの柱,,,,,,,
65,,静岡市わらしな学園,障害者福祉課,葵区飯間２２６３番地,34.982163,138.309923,278-2511,24時間月～日,電話またはインターホンにて声をお掛けください。,,1,1,本館医務室内,,,,,,,
66,,静岡市わらしなロッジ,障害者福祉課,葵区飯間２２６３番地,34.982163,138.309923,278-2900,8:30～17:00月～金,電話またはインターホンにて声をお掛けください。,,1,1,新館医務室内,,,,,,,
67,,児童相談所,児童相談所,葵区堤町９１４番地の４１７,35.001584,138.362477,275-2874,8:30～17:15月～金（祝日除く）,時間外利用不可,,1,1,１階事務室内,,,,,,,
68,,地域福祉交流プラザ,福祉総務課,葵区城東町２４番1 号,34.986211,138.387609,249-3183,休館日以外の8:30～21:00(休館日：毎月の第２日曜日、　12月29日から翌年の1月3日までの日),警備員室・守衛室へ声をお掛けください。,,1,1,１階ラ・ポシェット横,,,,,,,
69,,中央福祉センター,福祉総務課,葵区城内町１番１号,34.981889,138.381204,273-8133,休館日以外の9:00～21:00(休館日：毎月の第４日曜日、　12月29日から翌年の1月3日までの日),時間外利用不可,,1,1,１階玄関受付横,,,,,,,
70,,長尾川老人福祉センター,高齢者福祉課,葵区長尾１１７番地,35.03717,138.427015,265-1415,火～日（休館日除く）8：30～17：15,時間外利用不可,,1,1,１階事務室内,,,,,,,
